corpus;text
22;airway resistance and lung volume were measured by a modification of the plethysmographic method of briscoe and dubois to calculate specific airway resistance sraw on control subjects ranging in age from the newborn to years the mean sraw was lowest in the newborn period and increased rapidly to adult levels during the first years of life in each age group the mean sraw was lower for females than it was for males no control subject had an sraw greater than sec cm h o a decrease in mean sraw from sec cm h o for females to years of age to sec cm h o for those over years of age paralleled sexual maturation but similar changes were not observed in the males a direct correlation of sraw with clinical observations was found in young patients with various degrees of pulmonary involvement because of cystic fibrosis
23;ciliated nasal polyp epithelium from patients with allergic rhinitis and patients with cystic fibrosis was maintained in organ culture for hours explanted epithelium retained its morphologic characteristics and incorporated so and h into blood group specific glycoproteins that were secreted into the medium throughout the culture period labeled mucous glycoprotein was solubilized by reduction and alkylation then purified by gel filtration chromatography purified glycoprotein was further separated on diethylaminoethyl deae cellulose columns into blood group active fractions these fractions had similar amino acid compositions but differed in n acetyl neuraminic acid and fucose content and in relative incorporation of so and h glucosamine blood group glycoproteins from polyp epithelium of patients with allergic rhinitis and cystic fibrosis were indistinguishable in many respects however the so per h ratio of all glycoprotein fractions from patients with cystic fibrosis exceeded that of the corresponding fractions from secretions of patients with allergic rhinitis
24;the pressure volume behavior of the lung was studied in patients with cystic fibrosis isovolume flow pressure relationships were measured in of these patients and a modification of the flow volume test was evaluated for detection of flow reduction in a separate group of patients relative to results in a control group of normal subjects of the patients had grossly abnormal pressure volume curves with excessive stiffness of the lung near maximum volume and loss of recoil at lower volume closing volumes in these patients were often high enough to cause significant disturbances in gas exchange and the elevated closing volumes were quantitatively explained by the low values for elastic recoil the modified flow volume test detected mild flow reduction in many patients who otherwise had normal pulmonary function tests loss of recoil per se did not account for the low maximum expiratory flows since upstream resistances were high however pressure flow curves were effort dependent at high lung volumes even in patients with severe airway obstruction showing that time constants of emptying varied widely in these patients it was concluded that deterioration of lung function in cystic fibrosis involves more than airway obstruction and that the worsening gas trapping is explained by a progressive loss of lung elastic recoil
25;use of bland aerosols particularly mist tents in the treatment of lower respiratory disease was reviewed and no convincing evidence of efficacy was found this is not surprising because there is evidence that mist tents deposit little water in the lower respiratory tract mist tents may be detrimental in some cases because of bacterial contamination and because they can cause bronchospasm
26;plasma arginine esterase activity was measured in young adult patients with cystic fibrosis and in control subjects the enzyme was activated by treating the plasma with chloroform and ellagic acid in the manner described by rao and associates no difference was found either between the arginine esterase activities of the patients with cystic fibrosis and the control subjects or between the degrees of activity inhibited by soybean trypsin inhibitor thus the findings of rao and associates of a deficiency of arginine esterase activity in the plasma of patients with cystic fibrosis were not confirmed
27;in spite of the widespread clinical impression that pulmonary physical therapy including breathing exercises is helpful in the pediatric age group objective demonstration of the value of the various maneuvers is for the most part lacking there is evidence that the volume of sputum produced over short periods of time in patients with cystic fibrosis is increased when cough is accompanied by postural drainage and pulmonary physical therapy but the long term effect of the various maneuvers on the course of the chronic pulmonary disease remains unknown
28;the present study points out the simplicity and ease of using fingernails and toenails to measure electrolyte levels as a test for cystic fibrosis procedures and various effects on the ranges of values for different categories of healthy and diseased subjects are discussed and the limitations of the method are indicated
29;an ear nose throat survey was carried out on children aged to years with cystic fibrosis were shown to be transiently deaf associated with eustachian tube dysfunction there were no confirmed cases of secretory otitis media children were found to have nasal polyps or gave a history of polypectomy though a high incidence of middle ear problems in children with cystic fibrosis has been reported in the u s a neither deafness nor secretory otitis media was found to be a problem in the group studied
30;patients with cystic fibrosis have tocopherol deficiency presumably as a result of steatorrhoea evidence for possible muscular involvement in cystic fibrosis patients is clinical muscular weakness and wasting in many patients biochemical creatinuria on a creatine poor diet with reversal of this finding after ingestion of tocopherol esters accompanied by a decrease in creatine in plasma and an increase in creatine in muscle and pathological focal lesions in skeletal muscle resembling nutritional muscular dystrophy and ceroid pigment in smooth muscle muscle strength was measured with a bulb ergograph in patients with cystic fibrosis attending the clinics at the babies hospital columbia presbyterian medical center new york in a double blind study in which half the cases received tocopherol orally and the remainder placebo no significant increase in muscle strength was found in those patients receiving tocopherol over a period of months as compared to the placebo group blood tocopherol levels in the treated group returned to normal
31;the hypothesis that mist tent therapy decreases the viscosity of sputum by direct liquefaction of the sputum in the lower respiratory tract was tested in patients with cystic fibrosis cf the first night all patients slept without the mist tent and the first morning sputum was collected for analysis the following nights patients were randomly allocated to a tent supplied by either a jet or ultrasonic nebulizer the early morning sputum was analysed for volume viscosity water content and dna content an index of purulence there was no relation between sputum viscosity and dna content water content or volume furthermore there was no consistent relation between sputum viscosity or volume expectorated and the presence or absence of an hour stay in the tent with either method of water nebulization these results therefore suggest that mist therapy does not consistently influence sputum viscosity or volume in patients with cf above a sputum water content of further increases in water content do not influence viscosity
32;two sisters are described with fatal chronic obstructive lung disease of unknown origin the lung condition was clinically and histologically indistinguishable from cystic fibrosis and the salivary glands showed pathological changes expected in cystic fibrosis neither child had abnormal sweat electrolytes they had no bowel symptoms and the pancreas was normal at necropsy
33;cellulose acetate strip electrophoresis was found to be not sufficiently reliable to differentiate between normal and cf meconium but marked differences were obtained when quantitative immunoelectrophoretic methods were employed normal meconium was shown to contain alpha antitrypsin and alpha antichymotrypsin and most samples contained low concentrations of albumin and measurable amounts of a variety of other plasma proteins it is suggested that quantitative immunoelectrophoresis could be used as a means of confirming the diagnosis of cf if positive results are obtained when meconium specimens are screened with test strips
34;the coexistence of cystic fibrosis and coeliac disease has recently been reported and it has been suggested that cystic fibrosis may predispose to the later development of coeliac disease the diagnosis of coeliac disease is largely dependent upon the demonstration of histological changes in the small intestine but jejunal biopsy may be distressing to a small child it is suggested that food protein antibody studies may be of value in the investigation of children with cystic fibrosis in whom gluten sensitivity is suspected in the following case the decision to perform a jejunal biopsy was made when these studies were positive food protein antibody to cereal antigens wheat oatmeal and gluten and to ruminant antigens cow s milk and calf serum were persistently detected in the patient s blood jejunal biopsy showed partial villous atrophy with shortening broadening and branching of the villi there was a satisfactory clinical improvement after gluten restriction
35;a simple immunochemical technique utilizing single radial immunodiffusion for the demonstration of albumin in human meconium is described a comparison of this technique with the more widely used sulphosalicylic acid precipitation method is reported we also have attempted to determine the normal levels of albumin in meconium
37;neonatal peritonitis remains a dangerous condition factors complicating diagnosis and management include its low incidence the diversity of aetiological factors found and the severity of underlying or associated disease cases presenting since at southmead general hospital were reviewed thirteen aetiological factors relating to mother or baby were found infants were premature had severe respiratory problems at birth maternal hydramnios was present in babies had had exchange transfusion the commonest findings were gangrenous volvulus and cystic fibrosis combined factors were often present the usual presentation is with bilious vomiting abdominal distension and failure to pass normal meconium cases had distended abdomens at birth plain abdominal x rays are of great diagnostic value pneumoperitoneum is diagnostic but absent from early films treatment is surgical close liaison with the paediatrician who sees the baby first is essential in assessing results it is pointed out that many of these babies are small and or suffering from serious conditions such as haemolytic disease cystic fibrosis or gangrenous volvulus cases were considered unfit for surgery of submitted to surgery survived mostly in the latter part of the series
38;the value of detecting albumin in meconium as a screening procedure for cystic fibrosis cf has been assessed on samples in south wales and north staffordshire over a year period simultaneously four methods of detecting albumin were evaluated cases of cf were detected detection rate being the incidence of the disease in the population screened was in confirmed by clinical and other test procedures cases of cf without impairment of pancreatic function are likely to be missed by screening methods which depend on the presence of albumin in meconium
39;for caucasians of european origin cystic fibrosis cf remains the commonest recognized autosomal recessive disorder but it appears to be a rarity among the coloured races for a time records may have suggested an association between cf and whiteness in recent years however instance of cf children have been described whose racial origins are negroid mongoloid and non european caucasoid the present case reports concern pakistani children born in birmingham in whom cf has been confirmed of the cases and were brother and sister the present incidence of this disease among asian immigrants in the west midlands is approximately
40;calcium phosphate which precipitates in submandibular saliva of patients with cystic fibrosis because of elevated calcium concentrations was shown by electron microscopy to transform on standing in vitro from amorphous calcium phosphate globules to stellar clusters of hydroxyapatite crystals amorphous globules appeared to form at regular nucleation points on a fine network of unknown nature hydroxyapatite crystal formation was confirmed by electron diffraction pattern and chemical solubility zymogen granule spherules inclusion bodies which are present in greatly increased numbers in cystic fibrosis submandibular saliva disintegrated on standing from a homogeneous appearance to beaded hollow spheres
41;paneth cell metaplasia is a variable feature of diverse diseases of the colon and rectum paneth cells are numerous in the atrophic mucosa of chronic ulcerative colitis in some juvenile polyps and around colloid mucinous carcinomas moderate numbers of paneth cells are found in cystic fibrosis of the pancreas ambeic colitis and in villous adenomas paneth cells are sparse in diverticulitis in adenomatous polyps and around nonmucinous carcinomas in this study paneth cell metaplasia is associated with mucus hypersecretion and mucin deposits it is suggested that one function of the paneth cell is to control gastrointestinal mucin viscosity
42;the association of anomasia and hypogonadism has been reported with increasing frequency over the past several years this case report of kallman s syndrome emphasizes the importance of testing for anomasia in those patients who manifest abnormalities in their sexual development
43;the effects of cystic fibrosis on victorian families with one or more affected children were examined in a study carried out between august and february the social and emotional problems experienced by family members particularly the patients and mothers are reported on at all ages socially embarrassing symptoms and awareness of being different create major problems for the patient the uncertainty of prognosis and doubts about the prospects of employment are specially relevant for the teenager it is suggested that the patient be given ample opportunity from early adolescence onward to discuss all aspects of his disease and that more appropriate provision should be made for the total care of adult patients many problems such as depression feelings of isolation and the physical demands of constant treatment which the parents of children with cystic fibrosis experience are probably similar to those confronting parents of other chronically ill and handicapped children but special difficulties stem from the genetic basis of cystic fibrosis and from the knowledge of an eventually fatal outcome the roles of professional members of the medical team are touched on particularly in relation to genetic counseling and the provision of practical and emotional support to parents comments are made on the establishment of lay organisations the financial strain associated with obtaining regular medical attention was looked at and suggestions are made for minimizing the economic problems of certain vulnerable families
44;membrane associated atpase activities of human red blood cells were examined following the addition of spent fibroblast culture media from normal and cystic fibrosis cell lines in comparison to normal and unspent media the cystic fibrosis media consistently depressed the atpase activities
45;cultured lymphoid cells of both homozygotes and heterozygotes for cystic fibrosis could be distinguished from those of normals by growth pattern gross clumping and a relative increase in dermatan sulfate with a normal total mucopolysaccharide content lines derived from the genetic mucopolysaccharidoses also had these characteristics but their total mucopolysaccharide content was markedly increased these observations support the hypothesis that the cellular disturbance in cystic fibrosis resides in those cellular regions whose functions would be altered by mucopolysaccharide composition
46;hereditary abnormalities of intestinal transport are rare conditions but are of disproportionate importance because of the information they give regarding the mechanisms of intestinal absorption in man the main disability is usually diarrhoea but there may be abnormalities from lack of absorption of an essential nutrient or occasionally from absorption of compounds in excess due to failure of a normal control mechanism these diseases are experiments of nature which cannot be exactly simulated in the laboratory animal and thus may on occasions give information unobtainable from other sources most often however they confirm that the mechanisms of absorption studied in detail in smaller mammals are probably applicable to man in some of these diseases there is an associated defect of transport in the proximal renal tubules as well as in the gut they furnish evidence therefore that transport processes are closely related in the gut and in the kidney or at least that an important step in transport is identical at the two sites such disorders include disorders of carbohydrate absorption hereditary defects of amino acid absorption hereditary defects in the absorption of fat hereditary disorders of the intestinal absorption of electrolytes and hereditary defects of vitamin b absorption
47;elasticity of sputum elasticity of sputum has been determined using the weissenberg rheogoniometer by oscillatory testing over frequencies from to c s sputum was from patients with either asthma chronic bronchitis cystic fibrosis or bronchiectasis and macroscopically mucoid mucopurulent or purulent as in the viscosity plot over this shear rate range two zones with a junctional region can be distinguished in zone over the lowest shear rates elasticity increases slowly changes little over a plateau region and then in zone increases sharply in contrast to the viscosity plot the plateau does not show nothing by c s some samples show decreasing elasticity although variance between samples is wide there is no level of elasticity characteristic of each disease or of one macroscopic appearance elasticity and viscosity are correlated most significantly at the lowest shear rates asthmatic and bronchiectatic sputa resemble each other in that this correlation is still significant at higher shear rates cystic fibrosis and chronic bronchitic sputum in that it is not since in these last two mucous gland hypertrophy is present it may be that the sputum has a higher mucus component
48;concentrations of immunoglobulins were determined using mancini method and who standard in sera taken during long term treatment of children with c f from months to years old they were shown to depend markedly on the clinical state of the children particularly on the presence of pulmonary tract infectious processes these infections caused a rise in immunoglobulin concentration with predominance of igm in c f children aged up to yrs and with predominance of igg in older children mean titer of isohemagglutinins in children with c f was higher than in healthy children low titers of diphtherial and stapholococcal antibodies were found in the case of anti diphtheria antibodies this can be attributed to the fact that these children are not regularly vaccinated owing to their poor clinical condition as to the low titer of antistaphylococcal antibodies this is a well known finding in the course of chronic staphylococcal infections of appropriate bacteriological tests in our c f children furthermore their lymphocytes showed an increased blastic transformation when stimulated with staphylococcal filtrate transformation of pha stimulated lymphocytes was normal
49;a cross over trial of pancreatic enzyme replacement therapy has been conducted on children with cystic fibrosis using pancrex v forte and nutrizym tablets in equivalent dosage no differences were found in the effectiveness of these products as measured by stool volume number of bowel actions faecal fat excretion and urine urea excretion neither product eliminated the steatorrhoea though there was no laboratory evidence to support their choice nine patients expressed a preference for nutrizym at the conclusion of the trial this preference was based partly on the smaller number of tablets which are required
50;in an attempt to retard deterioration of pulmonary function a young man with cystic fibrosis underwent broncho pulmonary lavage of an entire lung in spite of theoretical advantages the lavage produced an acute deterioration in the patient s clinical and physiologic status from which he had not recovered one month later we conclude that bronchopulmonary lavage in cystic fibrosis may be hazardous and should be reserved for those cases in which conventional methods of improving tracheobronchial clearance have failed
51;the levels of galactosyltransferase have been studied in the sera obtained from normal individuals varying in age from years and from cystic fibrosis patients varying in age from years the enzyme level found in children was lower than that in adults the levels in the sera of cystic fibrosis patients was found to be about half of that in the normal sera for the corresponding age group in those cystic fibrosis patients over years of age normal levels were found
52;the biochemical properties of the erythrocyte membrane have been studied in cystic fibrosis patients and in age matched controls no significant differences could be observed in either the concentration or composition of the principal membrane constituents contrary to previous reports we found normal levels of the mg dependent and ca mg dependent atpase activities in cf preparations however a qualitative difference was observed in the ca dependent atpase since the enzyme had relatively greater activity at lower calcium concentrations in the cystic preparations this effect on the membrane bound ca atpase is unlikely to represent a genetic defect in the enzyme itself but it may be connected with the mechanism of pathogenesis in cystic fibrosis
53;the levels and properties of microsomal glycoprotein galactosyltransferase of cultured skin fibroblasts from control and cystic fibrosis patients were investigated using bovine submaxillary gland mucin as the exogenous acceptor although the mean specific activity of this enzyme was higher tin cystic fibrosis fibroblasts the difference was not significant the properties of the enzyme as regards ph optimum metal ion and triton x requirement apparent km heat stability and nucleotide sugar nucleotide response were similar for control and cystic fibrosis fibroblasts
54;ca atpase activity high affinity ca binding in the presence and absence of atp and low affinity ca binding at added cacl concentrations of microm microm and mm were measured in isolated erythrocyte membranes from cystic fibrosis and control subjects no significant difference was detected between the two groups for any of these measurements
55;various aspects of the immune status were examined in patients with cystic fibrosis cf and the following observations were made ten per cent of the cf patients had elevated or reduced serum igg concentrations and there seems to be a transient low serum iga concentration in the same number serum igm concentrations were normal in cf patients normal levels of the three serum immunoglobulins igg iga and igm were detected in the siblings and heterozygotes serum ige concentrations were elevated in of patients with cf but normal concentrations were detected in heterozygotes and siblings precipitating antibodies to various antigens and allergens were detected in the sputum of most patients with cf but their sera contained lower or undetectable titres of these antibodies the precipitating antibodies in cf sputum to bacteria to agar to seminal fluid to urine and to human serum may be related to a common antigenic determinant of the glycoproteins present in all these fluids the total protein concentration in the sputum of cf patients seemed to reflect the extent of lung damage the third component c of serum complement concentration was normal or moderately elevated in all cf patients tested serum transferrin concentrations were normal in cf patients but their prealbumin levels were depressed suggesting marginal undernutrition peripheral blood lymphocyte transformations with pha and pwm appear to be normal in cf patients
56;in order to differentiate asthma from other disorders resembling it one should attempt to define clearly what we mean by asthma and wheezing a most simplistic statement would define asthma as a recurring form of dyspnea marked by wheezing breath sounds the incompleteness of this definition is apparent asthma is really a symptom complex of labored wheezing breathing characterized by hyperreactivity of the bronchi to various stimuli resulting in generalized narrowing of the airways variable in scope and often reversible by sympathomimetics theophylline derivatives and corticosteroids a variety of conditions must be considered when studying the wheezing child these include asthmatic bronchitis acute bronchitis spasmodic croup allergic cough habit cough foreign body cystic fibrosis mucoviscidosis right middle lobe syndrome and upper and lower respiratory tract conditions simulating asthma
